datetime,ticker,price,signal,pnl
2024-03-04 04:00:00-05:00,NVDA,835.95,,
2024-03-04 04:05:00-05:00,NVDA,832.7,,
2024-03-04 04:10:00-05:00,NVDA,833.67,,
2024-03-04 04:15:00-05:00,NVDA,833.29,,
2024-03-04 04:20:00-05:00,NVDA,833.16,,
2024-03-04 04:25:00-05:00,NVDA,833.0,,
2024-03-04 04:30:00-05:00,NVDA,832.91,,
2024-03-04 04:35:00-05:00,NVDA,830.72,,
2024-03-04 04:40:00-05:00,NVDA,831.75,,
2024-03-04 04:45:00-05:00,NVDA,831.69,,
2024-03-04 04:50:00-05:00,NVDA,832.61,,
2024-03-04 04:55:00-05:00,NVDA,831.71,,
2024-03-04 05:00:00-05:00,NVDA,832.77,,
2024-03-04 05:05:00-05:00,NVDA,832.94,,
2024-03-04 05:10:00-05:00,NVDA,833.03,,
2024-03-04 05:15:00-05:00,NVDA,833.6,,
2024-03-04 05:20:00-05:00,NVDA,832.95,,
2024-03-04 05:25:00-05:00,NVDA,832.74,,
2024-03-04 05:30:00-05:00,NVDA,833.18,,
2024-03-04 05:35:00-05:00,NVDA,832.34,,
2024-03-04 05:40:00-05:00,NVDA,832.21,,
2024-03-04 05:45:00-05:00,NVDA,831.7,,
2024-03-04 05:50:00-05:00,NVDA,833.5,,
2024-03-04 05:55:00-05:00,NVDA,833.45,,
2024-03-04 06:00:00-05:00,NVDA,833.2,,
2024-03-04 06:05:00-05:00,NVDA,831.85,,
2024-03-04 06:10:00-05:00,NVDA,832.48,,
2024-03-04 06:15:00-05:00,NVDA,832.37,,
2024-03-04 06:20:00-05:00,NVDA,832.01,,
2024-03-04 06:25:00-05:00,NVDA,831.97,,
2024-03-04 06:30:00-05:00,NVDA,832.63,,
2024-03-04 06:35:00-05:00,NVDA,832.68,,
2024-03-04 06:40:00-05:00,NVDA,832.98,,
2024-03-04 06:45:00-05:00,NVDA,833.68,,
2024-03-04 06:50:00-05:00,NVDA,833.88,,
2024-03-04 06:55:00-05:00,NVDA,834.2,,
